"filename", "language", "JSON", "YAML", "JSON with Comments", "Markdown", "TypeScript", "Python", "pip requirements", "JavaScript", "TypeScript JSX", "CSS", "Database", "SCSS", "comment", "blank", "total"
"f:\study\blog\social\README.md", "Markdown", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"f:\study\blog\social\apps\social\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"f:\study\blog\social\apps\social\app\admin\data\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 2, 7, 40
"f:\study\blog\social\apps\social\app\admin\home\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 16, 7, 58
"f:\study\blog\social\apps\social\app\admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"f:\study\blog\social\apps\social\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"f:\study\blog\social\apps\social\app\admin\post\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 2, 7, 39
"f:\study\blog\social\apps\social\app\auth\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"f:\study\blog\social\apps\social\app\auth\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 6, 9, 115
"f:\study\blog\social\apps\social\app\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 1, 3, 31
"f:\study\blog\social\apps\social\app\explore\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"f:\study\blog\social\apps\social\app\explore\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 5, 22
"f:\study\blog\social\apps\social\app\friends\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"f:\study\blog\social\apps\social\app\friends\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 4, 16
"f:\study\blog\social\apps\social\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 281, 0, 0, 23, 40, 344
"f:\study\blog\social\apps\social\app\home\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"f:\study\blog\social\apps\social\app\home\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 419, 0, 0, 0, 52, 39, 510
"f:\study\blog\social\apps\social\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 5, 42
"f:\study\blog\social\apps\social\app\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 2, 32
"f:\study\blog\social\apps\social\app\mbti\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"f:\study\blog\social\apps\social\app\mbti\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 6, 9, 176
"f:\study\blog\social\apps\social\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"f:\study\blog\social\apps\social\app\notifications\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"f:\study\blog\social\apps\social\app\notifications\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 5, 22
"f:\study\blog\social\apps\social\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 4, 11
"f:\study\blog\social\apps\social\app\post\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 286, 0, 0, 0, 5, 14, 305
"f:\study\blog\social\apps\social\app\post\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"f:\study\blog\social\apps\social\app\profile\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 4, 12
"f:\study\blog\social\apps\social\app\profile\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 4, 4, 44
"f:\study\blog\social\apps\social\app\profile\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"f:\study\blog\social\apps\social\app\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 4, 12
"f:\study\blog\social\apps\social\biome.json", "JSON", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"f:\study\blog\social\apps\social\components.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"f:\study\blog\social\apps\social\components\ChatEmoji.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 2, 49
"f:\study\blog\social\apps\social\components\PostItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 270, 0, 0, 0, 0, 6, 276
"f:\study\blog\social\apps\social\components\Rich\Render.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 5, 29
"f:\study\blog\social\apps\social\components\Rich\Tiptap.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 13, 24, 154
"f:\study\blog\social\apps\social\components\Rich\render.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 1, 12, 75
"f:\study\blog\social\apps\social\components\Rich\tiptap.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 6, 47
"f:\study\blog\social\apps\social\components\chat.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"f:\study\blog\social\apps\social\components\echart\Pie.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 173, 0, 0, 0, 11, 15, 199
"f:\study\blog\social\apps\social\components\echart\WordCloudClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 7, 77
"f:\study\blog\social\apps\social\components\echart\word.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 2, 8, 42
"f:\study\blog\social\apps\social\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 8, 67
"f:\study\blog\social\apps\social\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 15, 158
"f:\study\blog\social\apps\social\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 7, 67
"f:\study\blog\social\apps\social\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"f:\study\blog\social\apps\social\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 7, 54
"f:\study\blog\social\apps\social\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 6, 47
"f:\study\blog\social\apps\social\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 11, 110
"f:\study\blog\social\apps\social\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 6, 60
"f:\study\blog\social\apps\social\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 5, 76
"f:\study\blog\social\apps\social\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 10, 93
"f:\study\blog\social\apps\social\components\ui\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 0, 28, 242
"f:\study\blog\social\apps\social\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 315, 0, 0, 0, 2, 37, 354
"f:\study\blog\social\apps\social\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 5, 33
"f:\study\blog\social\apps\social\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 6, 34
"f:\study\blog\social\apps\social\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 13, 178
"f:\study\blog\social\apps\social\components\ui\context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 0, 19, 253
"f:\study\blog\social\apps\social\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 14, 136
"f:\study\blog\social\apps\social\components\ui\drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 14, 133
"f:\study\blog\social\apps\social\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 239, 0, 0, 0, 0, 19, 258
"f:\study\blog\social\apps\social\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 25, 169
"f:\study\blog\social\apps\social\components\ui\hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 7, 45
"f:\study\blog\social\apps\social\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 9, 78
"f:\study\blog\social\apps\social\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"f:\study\blog\social\apps\social\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"f:\study\blog\social\apps\social\components\ui\menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 20, 277
"f:\study\blog\social\apps\social\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 12, 169
"f:\study\blog\social\apps\social\components\ui\pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 11, 128
"f:\study\blog\social\apps\social\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 8, 49
"f:\study\blog\social\apps\social\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 5, 32
"f:\study\blog\social\apps\social\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 6, 46
"f:\study\blog\social\apps\social\components\ui\resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 7, 57
"f:\study\blog\social\apps\social\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 6, 59
"f:\study\blog\social\apps\social\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 14, 186
"f:\study\blog\social\apps\social\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"f:\study\blog\social\apps\social\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 14, 140
"f:\study\blog\social\apps\social\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 660, 0, 0, 0, 12, 55, 727
"f:\study\blog\social\apps\social\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"f:\study\blog\social\apps\social\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 6, 64
"f:\study\blog\social\apps\social\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 5, 26
"f:\study\blog\social\apps\social\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 5, 32
"f:\study\blog\social\apps\social\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 12, 117
"f:\study\blog\social\apps\social\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 8, 67
"f:\study\blog\social\apps\social\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"f:\study\blog\social\apps\social\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 8, 74
"f:\study\blog\social\apps\social\components\ui\toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 6, 48
"f:\study\blog\social\apps\social\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 8, 62
"f:\study\blog\social\apps\social\container\admin-contanier\auth-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 13, 23, 141
"f:\study\blog\social\apps\social\container\admin-contanier\create-user-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 207, 0, 0, 0, 1, 16, 224
"f:\study\blog\social\apps\social\container\admin-contanier\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 4, 12, 144
"f:\study\blog\social\apps\social\container\admin-contanier\post-edit-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 6, 19, 187
"f:\study\blog\social\apps\social\container\admin-contanier\post-management.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 602, 0, 0, 0, 16, 45, 663
"f:\study\blog\social\apps\social\container\admin-contanier\post-view-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 5, 13, 207
"f:\study\blog\social\apps\social\container\admin-contanier\user-edit-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 2, 18, 130
"f:\study\blog\social\apps\social\container\admin-contanier\user-management.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 243, 0, 0, 0, 5, 14, 262
"f:\study\blog\social\apps\social\container\admin-contanier\user-statistics.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 13, 186
"f:\study\blog\social\apps\social\container\auth-contanier\AuthContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 11, 14, 87
"f:\study\blog\social\apps\social\container\auth-contanier\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 12, 154
"f:\study\blog\social\apps\social\container\auth-contanier\SignupForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 11, 177
"f:\study\blog\social\apps\social\container\chat-container\ChatBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 398, 0, 0, 0, 18, 27, 443
"f:\study\blog\social\apps\social\container\chat-container\ChatContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 10, 15, 127
"f:\study\blog\social\apps\social\container\chat-container\ConversationItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 4, 10, 92
"f:\study\blog\social\apps\social\container\chat-container\ConversationList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 6, 7, 127
"f:\study\blog\social\apps\social\container\chat-container\MessageInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 12, 17, 138
"f:\study\blog\social\apps\social\container\chat-container\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"f:\study\blog\social\apps\social\container\explore-contanier\SearchContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 4, 10, 180
"f:\study\blog\social\apps\social\container\friends-container\FriendRequestsDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 8, 137
"f:\study\blog\social\apps\social\container\friends-container\FriendSuggestions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 7, 91
"f:\study\blog\social\apps\social\container\friends-container\FriendsContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 4, 8, 55
"f:\study\blog\social\apps\social\container\friends-container\FriendsList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 5, 63
"f:\study\blog\social\apps\social\container\friends-container\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"f:\study\blog\social\apps\social\container\home-contanier\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 4, 43
"f:\study\blog\social\apps\social\container\home-contanier\nav-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 5, 7, 144
"f:\study\blog\social\apps\social\container\home-contanier\right-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 5, 7, 179
"f:\study\blog\social\apps\social\container\home-contanier\top-navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 3, 8, 175
"f:\study\blog\social\apps\social\container\mibt-contanier\MBTITest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 362, 0, 0, 0, 8, 36, 406
"f:\study\blog\social\apps\social\container\notifications-container\NotificationIndicator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 5, 23
"f:\study\blog\social\apps\social\container\notifications-container\NotificationsContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 6, 13, 131
